reason_code,direction,count,pct_of_total,notes
OUTSIDE_SESSION,NONE,7167,62.39,
WEEKDAY_SKIP,NONE,1440,12.54,
VOL_INSUFFICIENT,BUY,989,8.61,P4C focus
VOL_INSUFFICIENT,SELL,678,5.9,P4C focus
ENTRY_CUTOFF,NONE,480,4.18,
NO_BREAKOUT,NONE,246,2.14,
NY_ENTRY_DELAY,NONE,150,1.31,
MIN_RR,BUY,123,1.07,P4C focus
MIN_RR,SELL,76,0.66,P4C focus
WRONG_SIDE_OF_VWAP,SELL,76,0.66,P4C focus
WRONG_SIDE_OF_VWAP,BUY,42,0.37,P4C focus
RANGE_FORMING,NONE,20,0.17,
TOTAL,ALL,11487,100.0,source=ORBVWAP_journal.csv
