log_schema,trade_id,entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,rsi_depth,bb_walk_count,wick_pct,ema_slope_bp,atr_ratio,bb_pen_pts,htf_slope_bp,mae_r,mfe_r,mae_r_b4,mfe_r_b4,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts,label_bad_entry,label_tail_loss,label_early_cut_b4,label_early_cut_b6,label_early_cut,label_regime,label_profile_good,label_profile_bad,label_bad_trade,label_loss,label_sl
2,38,2023-04-11 01:10:00,2023.04.11 02:15:00,EURUSD,M5,sell,1.08733,1.08702,0.31,midline,12,82.01,0.00093,2.744,1,1,2,7.01,1,0.0,1.77,0.000141,18.4,-4.51,0.28,0.16,0.14,0.055,0.14,0.06,0.14,0.06,200.0,0,0,0,0,0,range,1,0,0,0,0
2,40,2023-04-12 01:55:00,2023.04.12 03:20:00,EURUSD,M5,sell,1.09255,1.09248,0.07,midline,16,78.82,0.000821,3.729,1,1,3,3.82,5,1.61,1.59,0.000166,37.0,3.42,0.165,0.21,0.11,0.21,0.11,0.21,0.11,0.21,200.0,0,0,0,0,0,chop,1,1,0,0,0
2,42,2023-04-14 01:05:00,2023.04.14 01:15:00,EURUSD,M5,sell,1.10552,1.10511,0.41,midline,1,78.68,0.000629,4.877,1,1,5,3.68,2,24.42,1.15,0.000125,22.3,10.29,0.035,0.32,,,,,,,200.0,0,0,0,0,0,trend,1,0,0,0,0
2,44,2023-04-14 03:10:00,2023.04.14 04:10:00,EURUSD,M5,sell,1.1073,1.10677,0.53,midline,11,78.83,0.001552,2.427,1,3,5,3.83,1,19.44,3.05,0.000276,52.6,11.04,0.01,0.335,0.01,0.225,0.01,0.225,0.01,0.31,200.0,0,0,0,0,0,trend,1,0,0,0,0
2,46,2023-04-19 02:00:00,2023.04.19 02:35:00,EURUSD,M5,sell,1.09826,1.09771,0.55,midline,6,76.05,0.000762,1.912,1,1,3,1.05,4,7.41,1.65,0.000167,20.9,1.66,0.07,0.325,0.07,0.18,0.07,0.2,0.07,0.325,200.0,0,0,0,0,0,chop,0,1,0,0,0
2,48,2023-04-19 03:05:00,2023.04.19 03:50:00,EURUSD,M5,buy,1.09662,1.09726,0.64,midline,8,24.7,0.001594,1.957,1,3,3,0.3,2,25.53,-2.58,0.00025,25.4,1.27,0.045,0.39,0.045,0.25,0.045,0.37,0.045,0.39,200.0,0,0,0,0,0,range,1,0,0,0,0
2,50,2023-04-19 06:50:00,2023.04.19 07:05:00,EURUSD,M5,buy,1.09616,1.09693,0.77,midline,2,22.16,0.001173,1.769,1,6,3,2.84,1,8.33,-2.14,0.000164,5.8,0.42,0.07,0.39,,,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,52,2023-04-20 07:15:00,2023.04.20 08:10:00,EURUSD,M5,sell,1.09701,1.09619,0.82,midline,10,77.77,0.001372,1.965,1,7,4,2.77,2,3.33,2.51,0.000217,28.8,0.28,0.16,0.63,0.16,0.19,0.16,0.19,0.16,0.19,200.0,0,0,0,0,0,range,1,0,0,0,0
2,54,2023-04-21 07:50:00,2023.04.21 08:35:00,EURUSD,M5,buy,1.09473,1.09527,0.54,midline,8,23.8,0.001624,1.647,1,7,5,1.2,5,26.92,-3.65,0.000297,16.9,-0.83,0.47,0.295,0.47,0.0,0.47,0.115,0.47,0.125,200.0,0,0,1,0,1,range,1,0,0,0,0
2,56,2023-04-25 01:40:00,2023.04.25 02:40:00,EURUSD,M5,sell,1.10636,1.10613,0.23,midline,11,77.12,0.000998,2.378,1,1,2,2.12,1,19.72,1.82,0.000184,30.2,9.69,0.17,0.3,0.15,0.3,0.15,0.3,0.15,0.3,200.0,0,0,0,0,0,trend,1,0,0,0,0
