entry_time,split,profit,exit_type,label_invalid,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,side_sell,rsi_depth,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,mae_delta_b5_b6,mfe_delta_b5_b6
2023-06-29 06:00:00+00:00,train,0.71,midline,0,22.38,0.000796,2.056,1,5,4,0,2.620000000000001,0.075,0.16,0.075,0.455,0.0,0.29500000000000004
2023-07-03 07:05:00+00:00,train,-2.0,sl,1,24.4,0.001506,4.302,1,7,1,0,0.6000000000000014,0.635,0.09,0.65,0.09,0.015000000000000013,0.0
2023-07-04 20:10:00+00:00,train,-0.62,midline,1,22.41,0.001164,1.803,8,20,2,0,2.59,0.16,0.08,0.265,0.08,0.10500000000000001,0.0
2023-07-06 05:05:00+00:00,train,0.53,midline,0,21.67,0.001445,1.702,1,5,4,0,3.3299999999999983,0.105,0.07,0.105,0.105,0.0,0.03499999999999999
2023-07-11 18:05:00+00:00,train,0.16,midline,0,78.03,0.001432,1.848,6,18,2,1,3.030000000000001,0.2,0.075,0.2,0.075,0.0,0.0
2023-07-12 01:30:00+00:00,train,-0.79,midline,1,82.04,0.000704,2.238,1,1,3,1,7.040000000000006,0.085,0.155,0.16,0.155,0.075,0.0
2023-07-14 07:00:00+00:00,train,-0.72,midline,1,24.61,0.001434,3.002,6,6,5,0,0.39000000000000057,0.25,0.29,0.25,0.29,0.0,0.0
2023-07-20 01:55:00+00:00,train,-0.36,midline,0,85.45,0.001534,4.322,1,1,4,1,10.450000000000003,0.17,0.205,0.275,0.205,0.10500000000000001,0.0
2023-07-26 07:00:00+00:00,train,-0.46,midline,0,80.54,0.001422,1.88,3,6,3,1,5.540000000000006,0.43,0.27,0.45,0.27,0.020000000000000018,0.0
2023-08-03 05:45:00+00:00,train,0.52,midline,0,22.75,0.000945,2.16,1,5,4,0,2.25,0.21,0.09,0.21,0.165,0.0,0.07500000000000001
2023-08-07 06:55:00+00:00,train,-0.82,midline,1,22.91,0.001282,1.891,5,6,1,0,2.09,0.38,0.065,0.505,0.065,0.125,0.0
2023-08-08 01:35:00+00:00,train,-0.98,midline,1,21.87,0.001154,2.044,1,1,2,0,3.129999999999999,0.295,0.025,0.305,0.025,0.010000000000000009,0.0
2023-08-09 06:10:00+00:00,train,0.46,midline,0,76.57,0.001048,6.127,1,6,3,1,1.5699999999999932,0.01,0.225,0.01,0.235,0.0,0.009999999999999981
2023-08-16 07:30:00+00:00,train,0.29,midline,0,75.25,0.001177,2.938,5,7,3,1,0.25,0.0,0.455,0.0,0.52,0.0,0.065
2023-08-17 01:20:00+00:00,train,0.2,midline,0,21.78,0.001423,2.605,1,1,4,0,3.219999999999999,0.01,0.235,0.01,0.235,0.0,0.0
2023-08-18 01:50:00+00:00,train,-0.54,midline,1,77.08,0.000813,2.182,1,1,5,1,2.0799999999999983,0.475,0.01,0.475,0.01,0.0,0.0
2023-08-25 00:10:00+00:00,train,0.48,midline,0,19.85,0.001374,4.389,1,0,5,0,5.149999999999999,0.225,0.24,0.225,0.24,0.0,0.0
2023-08-29 07:25:00+00:00,train,0.13,midline,0,23.85,0.000757,1.746,1,7,2,0,1.1499999999999986,0.29,0.2,0.385,0.2,0.09500000000000003,0.0
2023-08-31 08:05:00+00:00,train,-2.0,sl,1,23.36,0.001473,3.575,5,8,4,0,1.6400000000000006,0.695,0.035,0.695,0.075,0.0,0.039999999999999994
2023-09-04 08:20:00+00:00,train,0.73,midline,0,76.86,0.001414,1.661,6,8,1,1,1.8599999999999994,0.195,0.22,0.195,0.29,0.0,0.06999999999999998
2023-09-08 01:30:00+00:00,train,-0.16,midline,1,79.22,0.00095,2.285,1,1,5,1,4.219999999999999,0.575,0.06,0.575,0.06,0.0,0.0
2023-09-11 05:50:00+00:00,train,0.35,midline,0,80.63,0.001619,1.874,1,5,1,1,5.6299999999999955,0.155,0.09,0.17,0.09,0.015000000000000013,0.0
2023-09-12 08:10:00+00:00,train,-0.91,midline,1,23.44,0.000985,1.573,4,8,2,0,1.5599999999999987,0.435,0.0,0.465,0.0,0.030000000000000027,0.0
2023-09-14 01:50:00+00:00,train,0.27,midline,0,75.08,0.000683,2.307,1,1,4,1,0.0799999999999983,0.135,0.115,0.135,0.115,0.0,0.0
2023-09-15 07:25:00+00:00,train,0.54,midline,0,77.77,0.001309,2.091,5,7,5,1,2.769999999999996,0.2,0.15,0.2,0.15,0.0,0.0
2023-09-20 07:20:00+00:00,train,0.57,midline,0,75.34,0.001084,1.93,3,7,3,1,0.3400000000000034,0.135,0.13,0.135,0.3,0.0,0.16999999999999998
2023-09-21 01:30:00+00:00,train,-0.39,midline,1,18.34,0.00128,1.988,1,1,4,0,6.66,0.565,0.0,0.67,0.0,0.1050000000000001,0.0
2023-09-21 03:35:00+00:00,train,0.99,midline,0,18.75,0.001591,2.595,1,3,4,0,6.25,0.125,0.395,0.125,0.475,0.0,0.07999999999999996
2023-09-26 01:35:00+00:00,train,0.51,midline,0,18.6,0.001407,1.715,1,1,2,0,6.399999999999999,0.04,0.27,0.04,0.27,0.0,0.0
2023-09-27 01:45:00+00:00,train,0.51,midline,0,22.53,0.001098,1.833,1,1,3,0,2.469999999999999,0.205,0.075,0.205,0.195,0.0,0.12000000000000001
2023-09-27 12:20:00+00:00,train,-0.29,midline,0,22.69,0.001613,1.606,4,12,3,0,2.3099999999999987,0.48,0.0,0.48,0.005,0.0,0.005
2023-10-05 07:15:00+00:00,train,-0.1,midline,1,24.94,0.001427,1.885,1,7,4,0,0.05999999999999872,0.21,0.155,0.245,0.155,0.035,0.0
2023-10-10 00:45:00+00:00,train,0.27,midline,0,76.43,0.001165,2.362,1,0,2,1,1.4300000000000068,0.275,0.175,0.275,0.365,0.0,0.19
2023-10-18 01:25:00+00:00,train,-0.09,midline,0,23.3,0.001001,2.883,5,1,3,0,1.6999999999999993,0.28,0.015,0.28,0.015,0.0,0.0
2023-10-18 07:15:00+00:00,train,0.65,midline,0,77.65,0.001458,2.088,2,7,3,1,2.6500000000000057,0.095,0.375,0.095,0.435,0.0,0.06
2023-10-23 03:55:00+00:00,train,0.32,midline,0,24.95,0.001032,1.919,4,3,1,0,0.05000000000000071,0.075,0.13,0.075,0.13,0.0,0.0
2023-10-26 03:20:00+00:00,train,-0.54,midline,0,24.5,0.001278,1.804,4,3,4,0,0.5,0.33,0.0,0.33,0.0,0.0,0.0
2023-10-31 06:45:00+00:00,train,-1.95,e8c,1,75.99,0.0015,1.884,2,6,2,1,0.9899999999999949,0.2,0.21,0.2,0.21,0.0,0.0
2023-11-01 23:15:00+00:00,train,-1.08,e8c,1,76.25,0.001357,1.575,6,23,3,1,1.25,0.025,0.1,0.085,0.1,0.060000000000000005,0.0
2023-11-02 00:25:00+00:00,train,-0.52,midline,0,83.75,0.001638,1.55,3,0,4,1,8.75,0.395,0.115,0.43,0.115,0.034999999999999976,0.0
2023-11-02 12:15:00+00:00,train,-0.28,midline,1,81.52,0.001609,2.038,3,12,4,1,6.519999999999996,0.435,0.21,0.685,0.21,0.25000000000000006,0.0
2023-11-07 07:00:00+00:00,train,0.01,midline,0,23.98,0.000937,1.523,3,6,2,0,1.0199999999999996,0.275,0.03,0.445,0.03,0.16999999999999998,0.0
